sku,category_name,category_id
OGTO0026-5,Oil aur Ghee,16
OGMZ0017-5,Oil aur Ghee,16
CCTL0005,Chai aur Coffee,20
OGMZ0016-5,Oil aur Ghee,16
DDDO0027-27,Dairy,14
DDMK0033-12,Dairy,14
OGCN0037-5,Oil aur Ghee,16
OGKR0005-12,Oil aur Ghee,16
OGCN0037,Oil aur Ghee,16
ANMG0110,Anaaj,17
CDPA0028,Mashroobaat,67
NSBP0122,"Noodles, Sauces aur Meetha",61
CDSR0111,Mashroobaat,67
CDSR0110-12,Mashroobaat,67
PCBT0032,Personal Care,29
CDSR0110,Mashroobaat,67
CDSR0104,Mashroobaat,67
PCBT0034,Personal Care,29
CDFV0139,Mashroobaat,67
ANAK0028,Anaaj,17
PCBT0043,Personal Care,29
PCBT0040,Personal Care,29
GSMN0005,Ghar ka Samaan,4
GSMN0082,Ghar ka Samaan,4
PCCG0076,Personal Care,29
MAAY0090,Mobile Accessories,187
CDFZ0107,Mashroobaat,67
LGST0189,Laundry/Ghar ki Safayi,5
LGST0190,Laundry/Ghar ki Safayi,5
NSKL0084,"Noodles, Sauces aur Meetha",61
MELA0033,"Noodles, Sauces aur Meetha",61
MENL0013,"Noodles, Sauces aur Meetha",61
PCCG0078,Personal Care,29
MENL0004,"Noodles, Sauces aur Meetha",61
MENL0018,"Noodles, Sauces aur Meetha",61
MENL0010,"Noodles, Sauces aur Meetha",61
MENL0005,"Noodles, Sauces aur Meetha",61
ANBP0171,Anaaj,17
ANMG0105,Anaaj,17
BMNL0030,Masala,58
PCCG0081,Personal Care,29
OGKN0025-5,Oil aur Ghee,16
OGDA0023-5,Oil aur Ghee,16
OGKH0076-32,Oil aur Ghee,16
PCCG0067,Personal Care,29
DDTG0009-27,Dairy,14
ANMG0119,Anaaj,17
SSDL0333,Sabun Shampoo,7
